Ruta,Etiqueta Real,Predicción,Carpeta
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_4\2024-01070532.jpg,4,5,imagenes_oscura_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_3\2025-09230012.jpg,3,4,imagenes_oscura_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_4\2024-01261232.jpg,4,5,imagenes_clara_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_7\2024-01251502.jpg,7,6,imagenes_clara_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01080932.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-09241642.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_7\2025-09012242.jpg,7,5,imagenes_oscura_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2024-05171552.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01111152.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-10031152.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-05280232.jpg,6,4,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01121202.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01072002.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_7\2025-09200452.jpg,7,3,imagenes_oscura_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2024-01151252.jpg,3,4,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09301802.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2024-01020932.jpg,3,2,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-05300002.jpg,6,5,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2025-09220032.jpg,6,5,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_3\2025-09230232.jpg,3,4,imagenes_oscura_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09261022.jpg,1,3,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-01020442.jpg,6,4,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2025-09231242.jpg,3,2,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-10030952.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-01212352.jpg,6,7,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_5\2024-05161352.jpg,5,3,imagenes_clara_octa_5
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09041352.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01251352.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2024-01162132.jpg,3,2,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_0\2025-09041122.jpg,0,1,imagenes_clara_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09041322.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_0\2024-01260852.jpg,0,2,imagenes_clara_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-01212312.jpg,6,7,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01251522.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_7\2024-01230322.jpg,7,8,imagenes_oscura_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01260222.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01130542.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-05131452.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01201852.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_7\2024-01261302.jpg,7,6,imagenes_clara_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-10041452.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2024-01100822.jpg,2,3,imagenes_clara_octa_2
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2025-09061122.jpg,2,3,imagenes_clara_octa_2
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_4\2025-09181902.jpg,4,3,imagenes_clara_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_0\2025-10040842.jpg,0,1,imagenes_clara_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2024-01101132.jpg,2,3,imagenes_clara_octa_2
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09200842.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-10090752.jpg,6,7,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-10021612.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2024-01071422.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01111422.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_4\2025-09031232.jpg,4,5,imagenes_clara_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01231402.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2024-01241422.jpg,2,3,imagenes_clara_octa_2
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2024-01092042.jpg,2,3,imagenes_clara_octa_2
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-09181132.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01041202.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_7\2024-01142152.jpg,7,5,imagenes_clara_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01032352.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_0\2024-01162352.jpg,0,1,imagenes_oscura_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-01010042.jpg,6,7,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01170832.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01070002.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09231752.jpg,1,0,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01171512.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09041412.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_7\2024-05261342.jpg,7,6,imagenes_clara_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-05292322.jpg,6,5,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-10091432.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-09151052.jpg,6,7,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01132022.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_0\2024-05241722.jpg,0,1,imagenes_clara_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_0\2025-09051122.jpg,0,1,imagenes_clara_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01061302.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_7\2025-10062032.jpg,7,4,imagenes_oscura_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_0\2024-05211732.jpg,0,1,imagenes_clara_octa_0
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_5\2024-01081922.jpg,5,4,imagenes_clara_octa_5
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2024-01091852.jpg,3,4,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2024-05261602.jpg,3,4,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-05181112.jpg,6,4,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2024-01071532.jpg,2,1,imagenes_clara_octa_2
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-10071702.jpg,6,8,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-09031532.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_1\2024-01040352.jpg,1,2,imagenes_oscura_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-10011322.jpg,6,7,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01081002.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2025-09231102.jpg,1,0,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_3\2025-09211912.jpg,3,2,imagenes_clara_octa_3
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-09021702.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2024-01211932.jpg,1,3,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_1\2024-01211752.jpg,1,2,imagenes_clara_octa_1
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2025-09241552.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_6\2024-01212332.jpg,6,7,imagenes_oscura_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_8\2024-01091242.jpg,8,7,imagenes_clara_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_7\2025-09150342.jpg,7,5,imagenes_oscura_octa_7
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_5\2025-09211752.jpg,5,4,imagenes_clara_octa_5
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01210452.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_5\2024-05261022.jpg,5,4,imagenes_clara_octa_5
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_4\2024-01221012.jpg,4,5,imagenes_clara_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_4\2025-09061132.jpg,4,3,imagenes_clara_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_6\2024-01231412.jpg,6,5,imagenes_clara_octa_6
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_4\2024-05141402.jpg,4,2,imagenes_clara_octa_4
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_oscura_octa_8\2024-01230542.jpg,8,7,imagenes_oscura_octa_8
C:\Users\Florencia\Desktop\ProyectoNubes\04.Imagenes_validacion_manual - copia\imagenes_clara_octa_2\2025-09041452.jpg,2,3,imagenes_clara_octa_2
